graph_type,num_nodes,param,num_edges,reference_size,exact_ref,t_opt_theory,ratio_t0.001000,ratio_t0.001374,ratio_t0.001887,ratio_t0.002593,ratio_t0.003562,ratio_t0.004894,ratio_t0.006723,ratio_t0.009237,ratio_t0.012690,ratio_t0.017433,ratio_t0.023950,ratio_t0.032903,ratio_t0.045204,ratio_t0.062102,ratio_t0.085317,ratio_t0.117210,ratio_t0.161026,ratio_t0.221222,ratio_t0.303920,ratio_t0.417532,ratio_t0.573615,ratio_t0.788046,ratio_t1.082637,ratio_t1.487352,ratio_t2.043360,ratio_t2.807216,ratio_t3.856620,ratio_t5.298317,ratio_t7.278954,ratio_t10.000000
ER,50,0.5,617,43,False,0.2800632632314212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0232558139534884,1.0,1.1162790697674418,1.1395348837209303,1.1395348837209303,1.1395348837209303,1.1162790697674418
ER,50,0.5,614,43,False,0.2800632632314212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0232558139534884,1.1395348837209303,1.1395348837209303,1.1395348837209303,1.1162790697674418
BA,4,2.0,4,2,True,0.7366197723675814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5
BA,4,2.0,4,2,True,0.7366197723675814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5
BA,4,2.0,4,2,True,0.7366197723675814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5
BA,4,2.0,4,2,True,0.7366197723675814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5
BA,4,2.0,4,2,True,0.7366197723675814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5
BA,4,2.0,4,2,True,0.7366197723675814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5
BA,4,2.0,4,2,True,0.7366197723675814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5
BA,4,2.0,4,2,True,0.7366197723675814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5
BA,4,2.0,4,2,True,0.7366197723675814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5
BA,4,2.0,4,2,True,0.7366197723675814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.0,1.0,1.5
